MGP ID,Entrez Gene ID,Enzyme/Reactants,Gene name,Symbol
MGP005034,"29974 -
APOBEC1 complementation factor
A1CF",-,APOBEC1 complementation factor,A1CF
MGP000001,"2 -
alpha-2-macroglobulin
A2M",-,alpha-2-macroglobulin,A2M
MGP003452,"8086 -
achalasia, adrenocortical insufficiency, alacrimia
AAAS",-,"achalasia, adrenocortical insufficiency, alacrimia",AAAS
MGP005134,"51166 -
aminoadipate aminotransferase
AADAT",-,aminoadipate aminotransferase,AADAT
MGP000004,"15 
2.3.1.87| Reactants
aralkylamine N-acetyltransferase
AANAT",2.3.1.87| Reactants,aralkylamine N-acetyltransferase,AANAT
MGP000005,"16 
6.1.1.7| Reactants
alanyl-tRNA synthetase
AARS",6.1.1.7| Reactants,alanyl-tRNA synthetase,AARS
MGP005634,"57505 
6.1.1.7| Reactants
alanyl-tRNA synthetase 2, mitochondrial
AARS2",6.1.1.7| Reactants,"alanyl-tRNA synthetase 2, mitochondrial",AARS2
MGP005719,"60496 
2.7.8.-
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT",2.7.8.-,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT
MGP004145,"10157 
1.5.1.8| Reactants
aminoadipate-semialdehyde synthase
AASS",1.5.1.8| Reactants,aminoadipate-semialdehyde synthase,AASS
MGP004871,"26574 -
apoptosis antagonizing transcription factor
AATF",-,apoptosis antagonizing transcription factor,AATF
MGP000006,"18 
2.6.1.19| Reactants
4-aminobutyrate aminotransferase
ABAT",2.6.1.19| Reactants,4-aminobutyrate aminotransferase,ABAT
MGP000007,"19 -
ATP-binding cassette, sub-family A (ABC1), member 1
ABCA1",-,"ATP-binding cassette, sub-family A (ABC1), member 1",ABCA1
MGP004207,"10349 -
ATP-binding cassette, sub-family A (ABC1), member 10
ABCA10",-,"ATP-binding cassette, sub-family A (ABC1), member 10",ABCA10
MGP004816,"26154 -
ATP-binding cassette, sub-family A (ABC1), member 12
ABCA12",-,"ATP-binding cassette, sub-family A (ABC1), member 12",ABCA12
MGP000008,"20 -
ATP-binding cassette, sub-family A (ABC1), member 2
ABCA2",-,"ATP-binding cassette, sub-family A (ABC1), member 2",ABCA2
MGP000010,"24 -
ATP-binding cassette, sub-family A (ABC1), member 4
ABCA4",-,"ATP-binding cassette, sub-family A (ABC1), member 4",ABCA4
MGP004678,"23460 -
ATP-binding cassette, sub-family A (ABC1), member 6
ABCA6",-,"ATP-binding cassette, sub-family A (ABC1), member 6",ABCA6
MGP004206,"10347 -
ATP-binding cassette, sub-family A (ABC1), member 7
ABCA7",-,"ATP-binding cassette, sub-family A (ABC1), member 7",ABCA7
MGP004209,"10351 -
ATP-binding cassette, sub-family A (ABC1), member 8
ABCA8",-,"ATP-binding cassette, sub-family A (ABC1), member 8",ABCA8
MGP004208,"10350 -
ATP-binding cassette, sub-family A (ABC1), member 9
ABCA9",-,"ATP-binding cassette, sub-family A (ABC1), member 9",ABCA9
MGP002268,"5243 
3.6.3.44
ATP-binding cassette, sub-family B (MDR/TAP), member 1
ABCB1",3.6.3.44,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",ABCB1
MGP004677,"23456 -
ATP-binding cassette, sub-family B (MDR/TAP), member 10
ABCB10",-,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",ABCB10
MGP003629,"8647 -
ATP-binding cassette, sub-family B (MDR/TAP), member 11
ABCB11",-,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",ABCB11
MGP002269,"5244 
3.6.3.44
ATP-binding cassette, sub-family B (MDR/TAP), member 4
ABCB4",3.6.3.44,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",ABCB4
MGP007009,"340273 -
ATP-binding cassette, sub-family B (MDR/TAP), member 5
ABCB5",-,"ATP-binding cassette, sub-family B (MDR/TAP), member 5",ABCB5
MGP004105,"10058 -
ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)
ABCB6",-,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)",ABCB6
MGP000009,"22 -
ATP-binding cassette, sub-family B (MDR/TAP), member 7
ABCB7",-,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",ABCB7
MGP004478,"11194 -
ATP-binding cassette, sub-family B (MDR/TAP), member 8
ABCB8",-,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",ABCB8
MGP001961,"4363 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC1",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",ABCC1
MGP006217,"89845 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 10
ABCC10",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",ABCC10
MGP006200,"85320 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 11
ABCC11",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11",ABCC11
MGP000606,"1244 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 2
ABCC2",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",ABCC2
MGP003659,"8714 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 3
ABCC3",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",ABCC3
MGP004181,"10257 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 4
ABCC4",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",ABCC4
MGP004104,"10057 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 5
ABCC5",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5
MGP000190,"368 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 6
ABCC6",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",ABCC6
MGP003028,"6833 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 8
ABCC8",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",ABCC8
MGP004107,"10060 -
ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCC9",-,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9
MGP000115,"215 -
ATP-binding cassette, sub-family D (ALD), member 1
ABCD1",-,"ATP-binding cassette, sub-family D (ALD), member 1",ABCD1
MGP000123,"225 -
ATP-binding cassette, sub-family D (ALD), member 2
ABCD2",-,"ATP-binding cassette, sub-family D (ALD), member 2",ABCD2
MGP002540,"5825 -
ATP-binding cassette, sub-family D (ALD), member 3
ABCD3",-,"ATP-binding cassette, sub-family D (ALD), member 3",ABCD3
MGP002541,"5826 -
ATP-binding cassette, sub-family D (ALD), member 4
ABCD4",-,"ATP-binding cassette, sub-family D (ALD), member 4",ABCD4
MGP003958,"9619 -
ATP-binding cassette, sub-family G (WHITE), member 1
ABCG1",-,"ATP-binding cassette, sub-family G (WHITE), member 1",ABCG1
MGP003897,"9429 -
ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)
ABCG2",-,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)",ABCG2
MGP005747,"64137 -
ATP-binding cassette, sub-family G (WHITE), member 4
ABCG4",-,"ATP-binding cassette, sub-family G (WHITE), member 4",ABCG4
MGP005762,"64240 -
ATP-binding cassette, sub-family G (WHITE), member 5
ABCG5",-,"ATP-binding cassette, sub-family G (WHITE), member 5",ABCG5
MGP005763,"64241 -
ATP-binding cassette, sub-family G (WHITE), member 8
ABCG8",-,"ATP-binding cassette, sub-family G (WHITE), member 8",ABCG8
