gene,pathway
MGP005034,"[('C', 'apolipoprotein B mRNA editing enzyme complex'), ('C', 'cytoplasm'), ('C', 'endoplasmic reticulum'), ('C', 'nucleoplasm'), ('F', 'nucleotide binding'), ('F', 'RNA binding'), ('F', 'single-stranded RNA binding'), ('P', 'cytidine to uridine editing'), ('P', 'gene expression'), ('P', 'mRNA modification'), ('P', 'mRNA processing'), ('P', 'protein stabilization')]"
MGP000001,"[('C', 'blood microparticle'), ('C', 'cytosol'), ('C', 'extracellular region'), ('C', 'extracellular vesicular exosome'), ('C', 'platelet alpha granule lumen'), ('F', 'calcium-dependent protein binding'), ('F', 'enzyme binding'), ('F', 'growth factor binding'), ('F', 'interleukin-1 binding'), ('F', 'interleukin-8 binding'), ('F', 'protease binding'), ('F', 'receptor binding'), ('F', 'serine-type endopeptidase inhibitor activity'), ('F', 'tumor necrosis factor binding'), ('P', 'blood coagulation'), ('P', 'blood coagulation, intrinsic pathway'), ('P', 'extracellular matrix disassembly'), ('P', 'extracellular matrix organization'), ('P', 'negative regulation of complement activation, lectin pathway'), ('P', 'negative regulation of endopeptidase activity'), ('P', 'platelet activation'), ('P', 'platelet degranulation'), ('P', 'regulation of small GTPase mediated signal transduction'), ('P', 'small GTPase mediated signal transduction'), ('P', 'stem cell differentiation')]"
MGP003452,"[('C', 'centrosome'), ('C', 'cytoplasm'), ('C', 'membrane'), ('C', 'nuclear envelope'), ('C', 'nuclear membrane'), ('C', 'nuclear pore'), ('C', 'nucleoplasm'), ('C', 'nucleus'), ('P', 'carbohydrate metabolic process'), ('P', 'cytokine-mediated signaling pathway'), ('P', 'fertilization'), ('P', 'glucose transport'), ('P', 'hexose transport'), ('P', 'learning'), ('P', 'mitotic cell cycle'), ('P', 'mitotic nuclear envelope disassembly'), ('P', 'mRNA transport'), ('P', 'nucleocytoplasmic transport'), ('P', 'protein transport'), ('P', 'regulation of glucose transport'), ('P', 'regulation of nucleocytoplasmic transport'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'viral process')]"
MGP005134,"[('F', 'pyridoxal phosphate binding'), ('F', 'transaminase activity'), ('P', 'biosynthetic process')]"
MGP000004,"[('C', 'cytosol'), ('C', 'perinuclear region of cytoplasm'), ('F', 'aralkylamine N-acetyltransferase activity'), ('F', 'arylamine N-acetyltransferase activity'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'cellular response to cAMP'), ('P', 'circadian rhythm'), ('P', 'indolalkylamine biosynthetic process'), ('P', 'melatonin biosynthetic process'), ('P', 'N-terminal protein amino acid acetylation'), ('P', 'response to calcium ion'), ('P', 'response to copper ion'), ('P', 'response to corticosterone'), ('P', 'response to cytokine'), ('P', 'response to insulin'), ('P', 'response to light stimulus'), ('P', 'response to prostaglandin E'), ('P', 'response to zinc ion'), ('P', 'small molecule metabolic process')]"
MGP000005,"[('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('C', 'membrane'), ('F', 'alanine-tRNA ligase activity'), ('F', 'amino acid binding'), ('F', 'aminoacyl-tRNA editing activity'), ('F', 'ATP binding'), ('F', 'tRNA binding'), ('F', 'zinc ion binding'), ('P', 'alanyl-tRNA aminoacylation'), ('P', 'cerebellar Purkinje cell layer development'), ('P', 'endoplasmic reticulum unfolded protein response'), ('P', 'gene expression'), ('P', 'hair follicle development'), ('P', 'negative regulation of neuron apoptotic process'), ('P', 'neuromuscular process controlling balance'), ('P', 'protein folding'), ('P', 'response to amino acid'), ('P', 'tRNA aminoacylation for protein translation'), ('P', 'tRNA modification'), ('P', 'tRNA processing')]"
MGP005634,"[('C', 'mitochondrion'), ('F', 'alanine-tRNA ligase activity'), ('F', 'ATP binding'), ('F', 'tRNA binding'), ('F', 'zinc ion binding'), ('P', 'gene expression'), ('P', 'mitochondrial alanyl-tRNA aminoacylation'), ('P', 'mitochondrial respiratory chain complex assembly'), ('P', 'tRNA aminoacylation for protein translation')]"
MGP005719,"[('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('F', 'holo-[acyl-carrier-protein] synthase activity'), ('F', 'magnesium ion binding'), ('P', 'macromolecule biosynthetic process'), ('P', 'pantothenate metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'vitamin metabolic process'), ('P', 'water-soluble vitamin metabolic process')]"
MGP004145,"[('C', 'intracellular membrane-bounded organelle'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('F', 'saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity'), ('F', 'saccharopine dehydrogenase (NADP+, L-lysine-forming) activity'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'L-lysine catabolic process to acetyl-CoA via saccharopine'), ('P', 'lysine catabolic process'), ('P', 'protein tetramerization'), ('P', 'small molecule metabolic process')]"
MGP004871,"[('C', 'centrosome'), ('C', 'cytoplasm'), ('C', 'focal adhesion'), ('C', 'Golgi apparatus'), ('C', 'nucleolus'), ('C', 'nucleus'), ('F', 'leucine zipper domain binding'), ('F', 'poly(A) RNA binding'), ('F', 'sequence-specific DNA binding transcription factor activity'), ('P', 'apoptotic signaling pathway'), ('P', 'cell adhesion'), ('P', 'cellular response to DNA damage stimulus'), ('P', 'embryonic cleavage'), ('P', 'negative regulation of amyloid precursor protein biosynthetic process'), ('P', 'negative regulation of apoptotic process'), ('P', 'negative regulation of reactive oxygen species metabolic process'), ('P', 'negative regulation of superoxide anion generation'), ('P', 'neurotrophin TRK receptor signaling pathway'), ('P', 'positive regulation of apoptotic process'), ('P', 'positive regulation of transcription from RNA polymerase II promoter'), ('P', 'regulation of mitotic cell cycle'), ('P', 'ribosome biogenesis')]"
